regGCEA_ICG_CTRL reg:0xf0c4
regDB_RENDER_CONTROL reg:0xa000
regDB_COUNT_CONTROL reg:0xa001
regDB_DEPTH_VIEW reg:0xa002
regDB_RENDER_OVERRIDE reg:0xa003
regDB_RENDER_OVERRIDE2 reg:0xa004
regDB_HTILE_DATA_BASE reg:0xa005
regDB_HTILE_DATA_BASE_HI reg:0xa006
regDB_DEPTH_SIZE reg:0xa007
regDB_DEPTH_BOUNDS_MIN reg:0xa008
regDB_DEPTH_BOUNDS_MAX reg:0xa009
regDB_STENCIL_CLEAR reg:0xa00a
regDB_DEPTH_CLEAR reg:0xa00b
regPA_SC_SCREEN_SCISSOR_TL reg:0xa00c
regPA_SC_SCREEN_SCISSOR_BR reg:0xa00d
regDB_Z_INFO reg:0xa00e
regDB_STENCIL_INFO reg:0xa00f
regDB_Z_READ_BASE reg:0xa010
regDB_Z_READ_BASE_HI reg:0xa011
regDB_STENCIL_READ_BASE reg:0xa012
regDB_STENCIL_READ_BASE_HI reg:0xa013
regDB_Z_WRITE_BASE reg:0xa014
regDB_Z_WRITE_BASE_HI reg:0xa015
regDB_STENCIL_WRITE_BASE reg:0xa016
regDB_STENCIL_WRITE_BASE_HI reg:0xa017
regDB_DFSM_CONTROL reg:0xa018
regDB_Z_INFO2 reg:0xa01a
regDB_STENCIL_INFO2 reg:0xa01b
regCOHER_DEST_BASE_HI_0 reg:0xa07a
regCOHER_DEST_BASE_HI_1 reg:0xa07b
regCOHER_DEST_BASE_HI_2 reg:0xa07c
regCOHER_DEST_BASE_HI_3 reg:0xa07d
regCOHER_DEST_BASE_2 reg:0xa07e
regCOHER_DEST_BASE_3 reg:0xa07f
regPA_SC_WINDOW_OFFSET reg:0xa080
regPA_SC_WINDOW_SCISSOR_TL reg:0xa081
regPA_SC_WINDOW_SCISSOR_BR reg:0xa082
regPA_SC_CLIPRECT_RULE reg:0xa083
regPA_SC_CLIPRECT_0_TL reg:0xa084
regPA_SC_CLIPRECT_0_BR reg:0xa085
regPA_SC_CLIPRECT_1_TL reg:0xa086
regPA_SC_CLIPRECT_1_BR reg:0xa087
regPA_SC_CLIPRECT_2_TL reg:0xa088
regPA_SC_CLIPRECT_2_BR reg:0xa089
regPA_SC_CLIPRECT_3_TL reg:0xa08a
regPA_SC_CLIPRECT_3_BR reg:0xa08b
regPA_SC_EDGERULE reg:0xa08c
regPA_SU_HARDWARE_SCREEN_OFFSET reg:0xa08d
regCB_TARGET_MASK reg:0xa08e
regCB_SHADER_MASK reg:0xa08f
regPA_SC_GENERIC_SCISSOR_TL reg:0xa090
